QS Recursion Limit, AVG Elapsed Time
2,4696097694
4,4608231562
6,4628197279
8,4563483208
10,4524667082
12,4519719316
14,4531047311
16,4547344833
18,4645323813
20,4595174430
22,4596328136
24,4633248583
26,4648145359
28,4670893367
30,4705572676
32,4741172732
34,4755285437
36,4796509811
38,4819616645
40,4853437218
42,4878933811
44,4919272567
46,4981879758
48,5178410164
50,5014169025
52,5045058114
54,5104504417
56,5122679129
58,5138444314
60,5188416631
62,5210255128
64,5248867307
66,5291974986
68,5341144601
70,5345540688
72,5391365806
74,5412568855
76,5451351843
78,5482010389
80,5527298335
82,5563440826
84,5592035445
86,5632422556
88,5998202454
90,5740342866
92,5740244875
94,5794561367
96,5824259346
98,5885089897
100,5920993456
102,5938176595
104,5973019033
106,5991095328
108,6029455205
110,6064419244
112,6119055451
114,6141520721
116,6173779125
118,6209227004
120,6265950891
122,6277892574
124,6320904965
126,6359351740
128,6402129179
130,6459434897
132,6542839804
134,6576679718
136,6574985994
138,6633161543
140,6627200443
142,6662628553
144,6707138969
146,6745245975
148,6761719853
150,6813734337
152,6823441284
154,6948317604
156,6944229713
158,6978074890
160,6990419773
162,7024603154
164,7079913494
166,7112768236
168,7153121356
170,7498255858
172,7202336625
174,7248993174
176,7297192549
178,7351661645
180,7355040986
182,7409885834
184,7433198037
186,7490066137
188,7516046713
190,7575331594
192,7582246151
194,7627799341
196,7680663318
198,7739442458
200,7772936772
202,7778488272
204,7827268340
206,7889486127
208,7909875949
210,8009383533
212,7960622807
214,8033777052
216,8100658161
218,8080038365
220,8136934910
222,8169270114
224,8203089691
226,8444639383
228,8336902257
230,8308490677
232,8349149575
234,8406335826
236,8639499531
238,8541433369
240,8522779794
242,8542244319
244,8586231927
246,8601936099
248,8644052063
250,8686308258
252,9006965614
254,8787012642
256,8807943619
258,8895223796
260,8879331749
262,8948145373
264,8986667810
266,9010271426
268,9027464664
270,9067812380
272,9115556217
274,9157574617
276,9201741425
278,9234454371
280,9260280919
282,9308485272
284,9338369989
286,9376244461
288,9410973549
290,9465641045
292,9497514454
294,9524459296
296,9566188985
298,9604433520
300,9692287846
,
